City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Pochutla,MX,15.7432,-96.4661,77.83,65,98,3.83,overcast clouds
138,Saint Anthony,US,45.0205,-93.218,64.29,38,0,16.11,clear sky
139,Kaitangata,NZ,-46.2817,169.8464,54.46,96,100,3.65,overcast clouds
140,Husavik,IS,66.0449,-17.3389,39.22,75,100,7.63,overcast clouds
141,Kamenka,RU,51.3223,42.7678,51.49,46,4,5.26,clear sky
142,Sungaipenuh,ID,-2.0833,101.3833,80.38,53,100,4.81,overcast clouds
143,Kavieng,PG,-2.5744,150.7967,85.39,66,27,17.81,scattered clouds
144,Katherine,AU,-14.4667,132.2667,91.72,22,4,16.11,clear sky
145,Chumikan,RU,54.7183,135.315,47.88,61,0,10.04,clear sky
146,Mincivan,AZ,39.0294,46.7185,59.04,81,99,1.92,overcast clouds
147,Tenenkou,ML,14.4572,-4.9169,85.14,44,65,6.85,broken clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,71.42,80,61,7.85,broken clouds
149,Saint-Leu,RE,-21.15,55.2833,79.66,66,1,2.75,clear sky
150,Neftcala,AZ,39.3742,49.2472,58.01,76,100,19.1,overcast clouds
151,Saint-Pierre,RE,-21.3393,55.4781,80.28,57,0,3.44,clear sky
152,Hithadhoo,MV,-0.6,73.0833,84.61,75,32,17.0,scattered clouds
153,Bilibino,RU,68.0546,166.4372,31.86,97,100,1.57,light snow
154,Carnarvon,AU,-24.8667,113.6333,81.41,39,97,6.08,overcast clouds
155,Porto Velho,BR,-8.7619,-63.9039,75.25,94,0,0.0,clear sky
156,Harrisburg,US,40.2737,-76.8844,47.03,76,100,10.0,overcast clouds
157,Pisco,PE,-13.7,-76.2167,63.01,93,38,2.37,scattered clouds
158,San Andres,CO,12.5847,-81.7006,81.9,80,93,11.54,overcast clouds
